sleep_date,start,end,sleep_time,user_id
2021-11-06,2021-11-06 03:27:00,2021-11-06 09:50:00,6.316666666666666,1
2021-11-07,2021-11-07 02:07:30,2021-11-07 10:28:30,8.2,1
2021-11-08,2021-11-08 02:00:30,2021-11-08 06:43:30,4.6,1
2021-12-07,2021-12-07 01:23:00,2021-12-07 07:23:00,5.833333333333333,18
2021-12-09,2021-12-09 01:18:30,2021-12-09 06:57:30,5.35,18
2021-12-10,2021-12-10 01:50:00,2021-12-10 03:07:00,1.3,18
2021-11-16,2021-11-15 22:21:30,2021-11-16 09:07:30,9.433333333333334,9
2021-11-17,2021-11-17 01:06:00,2021-11-17 09:00:00,7.166666666666667,9
2021-11-18,2021-11-17 23:38:00,2021-11-18 09:41:00,9.45,9
2021-11-06,2021-11-06 01:53:00,2021-11-06 08:04:00,5.566666666666666,3
2021-11-07,2021-11-07 02:12:00,2021-11-07 09:40:00,6.933333333333334,3
2021-11-08,2021-11-08 01:25:30,2021-11-08 06:17:30,4.316666666666666,3
2021-11-27,2021-11-26 23:16:30,2021-11-27 07:04:30,7.183333333333334,16
2021-11-28,2021-11-27 22:09:00,2021-11-28 07:10:00,8.5,16
2021-11-29,2021-11-28 23:23:00,2021-11-29 07:36:00,7.783333333333333,16
2021-11-22,2021-11-21 21:36:00,2021-11-22 06:47:00,8.583333333333334,14
2021-11-23,2021-11-22 21:49:30,2021-11-23 04:27:30,6.2,14
2021-11-23,2021-11-23 07:09:00,2021-11-23 09:49:00,2.6,14
2021-11-23,2021-11-23 12:47:30,2021-11-23 14:42:30,1.783333333333333,14
2021-11-24,2021-11-23 23:56:30,2021-11-24 06:36:30,5.683333333333334,14
2021-11-16,2021-11-15 23:51:00,2021-11-16 05:57:00,5.716666666666667,10
2021-11-17,2021-11-16 21:46:30,2021-11-17 00:07:30,2.283333333333333,10
2021-11-17,2021-11-17 03:57:00,2021-11-17 06:01:00,1.983333333333333,10
2021-11-17,2021-11-17 20:43:00,2021-11-17 23:22:00,2.4,10
2021-11-18,2021-11-18 02:52:00,2021-11-18 05:58:00,2.9,10
2021-11-20,2021-11-20 04:38:30,2021-11-20 08:06:30,3.4,11
2021-11-21,2021-11-21 06:25:00,2021-11-21 10:00:00,3.55,11
2021-11-22,2021-11-22 08:38:30,2021-11-22 10:17:30,1.566666666666667,11
2021-11-14,2021-11-13 23:11:00,2021-11-14 06:48:00,7.433333333333334,7
2021-11-15,2021-11-15 00:23:00,2021-11-15 04:53:00,4.25,7
2021-11-15,2021-11-15 10:20:00,2021-11-15 11:21:00,0.8833333333333333,7
2021-11-16,2021-11-16 00:22:30,2021-11-16 04:53:30,4.433333333333334,7
2021-11-16,2021-11-16 10:54:00,2021-11-16 13:12:00,2.233333333333333,7
2021-11-16,2021-11-16 16:24:00,2021-11-16 20:59:00,4.483333333333333,7
2021-11-17,2021-11-16 22:01:30,2021-11-17 01:40:30,3.55,7
2021-11-17,2021-11-17 13:14:00,2021-11-17 14:14:00,0.95,7
2021-11-09,2021-11-09 01:08:30,2021-11-09 08:23:30,6.833333333333333,4
2021-11-10,2021-11-10 01:26:30,2021-11-10 08:17:30,6.483333333333333,4
2021-11-11,2021-11-11 01:43:00,2021-11-11 09:17:00,7.4,4
2021-11-11,2021-11-10 21:58:30,2021-11-11 06:22:30,7.9,5
2021-11-12,2021-11-11 23:36:00,2021-11-12 00:42:00,1.066666666666667,5
2021-11-12,2021-11-12 02:43:30,2021-11-12 06:07:30,3.183333333333333,5
2021-11-13,2021-11-13 00:37:30,2021-11-13 07:15:30,6.033333333333333,5
2021-11-27,2021-11-26 22:54:00,2021-11-27 06:37:00,7.233333333333333,17
2021-11-28,2021-11-27 21:56:00,2021-11-28 07:13:00,8.216666666666667,17
2021-11-29,2021-11-28 22:14:30,2021-11-29 06:42:30,7.933333333333334,17
2021-11-20,2021-11-20 00:50:30,2021-11-20 08:59:30,7.883333333333334,12
2021-11-20,2021-11-20 15:22:30,2021-11-20 17:59:30,2.35,12
2021-11-21,2021-11-21 06:55:30,2021-11-21 16:00:30,8.65,12
2021-11-22,2021-11-21 22:18:00,2021-11-22 00:55:00,2.2,12
2021-11-22,2021-11-22 06:06:30,2021-11-22 11:55:30,5.466666666666667,12
2021-11-06,2021-11-06 01:48:00,2021-11-06 09:59:00,7.05,2
2021-11-07,2021-11-07 03:41:00,2021-11-07 10:09:00,5.75,2
2021-11-08,2021-11-08 02:07:00,2021-11-08 07:57:00,5.316666666666666,2
2021-11-12,2021-11-12 01:34:00,2021-11-12 05:40:00,3.833333333333333,6
2021-11-13,2021-11-13 00:45:30,2021-11-13 11:19:30,10.1,6
2021-11-14,2021-11-14 03:55:30,2021-11-14 09:46:30,5.616666666666666,6
2021-11-15,2021-11-15 02:41:30,2021-11-15 12:43:30,9.816666666666666,6
2021-11-22,2021-11-21 21:35:00,2021-11-22 03:08:00,5.5,13
2021-11-23,2021-11-22 21:52:00,2021-11-23 04:55:00,6.333333333333333,13
2021-11-23,2021-11-23 13:21:00,2021-11-23 14:46:00,1.433333333333333,13
2021-11-24,2021-11-24 01:50:00,2021-11-24 06:06:00,4.033333333333333,13
2021-11-16,2021-11-15 23:37:30,2021-11-16 07:34:30,7.1,8
2021-11-17,2021-11-17 02:22:00,2021-11-17 08:23:00,5.716666666666667,8
2021-11-18,2021-11-18 02:03:00,2021-11-18 08:14:00,5.95,8
2021-11-26,2021-11-26 16:35:30,2021-11-26 17:40:30,1.066666666666667,15
2021-11-27,2021-11-27 00:04:00,2021-11-27 07:16:00,7.15,15
2021-11-28,2021-11-27 22:26:30,2021-11-28 06:33:30,7.766666666666667,15
2021-11-29,2021-11-28 23:30:00,2021-11-29 06:08:00,6.366666666666666,15
2021-11-29,2021-11-29 08:36:30,2021-11-29 09:41:30,1.016666666666667,15
2021-11-29,2021-11-29 16:01:00,2021-11-29 18:10:00,2.15,15
2021-11-30,2021-11-30 12:35:00,2021-11-30 14:43:00,2.133333333333333,15
